name,salary_from,salary_to,salary_currency,area_name,published_at
Веб-программист,25000.0,30000.0,RUR,Санкт-Петербург,2009-09-01T14:31:12+0400
Администратор отдела сопровождения клиентов (центр КонсультантПлюс),15000.0,25000.0,RUR,Нижний Новгород,2009-09-01T14:33:21+0400
Flash программист (action script 2. 0, 3. 0),30000.0,50000.0,RUR,Москва,2009-09-01T14:54:57+0400
Программист C++,50000.0,80000.0,RUR,Москва,2009-09-01T15:07:52+0400
Ведущий специалист по сетевому и системному администрированию,33000.0,33000.0,RUR,Санкт-Петербург,2009-09-01T15:08:30+0400
Специалист в отдел технической поддержки и внедрения,25000.0,40000.0,RUR,Санкт-Петербург,2009-10-19T14:50:04+0400
Веб- мастер,30000.0,30000.0,RUR,Москва,2009-09-01T15:15:18+0400
Менеджер по работе с ключевыми клиентами,45000.0,60000.0,RUR,Москва,2009-09-01T15:15:55+0400
Web программист,25000.0,30000.0,RUR,Санкт-Петербург,2009-09-01T15:33:08+0400
Инженер,30000.0,50000.0,RUR,Красноярск,2009-09-01T15:40:21+0400
Менеджер по телемаркетингу,4500.0,15000.0,RUR,Чебоксары,2009-09-01T15:41:10+0400
Специалист службы технической поддержки,14000.0,17000.0,RUR,Москва,2009-09-01T15:53:22+0400
Менеджер по работе с клиентами физического хостинга,12000.0,15000.0,RUR,Московская область - Север,2009-09-01T15:53:46+0400
Менеджер по работе с клиентами хостинга,12000.0,15000.0,RUR,Москва,2009-09-01T15:54:13+0400
Инженер связи,28000.0,37000.0,RUR,Москва,2009-09-01T16:09:21+0400
Менеджер по продажам-консультант (IT-консалтинг),20000.0,60000.0,RUR,Москва,2009-10-01T17:26:27+0400
Программист PHP,15000.0,35000.0,RUR,Санкт-Петербург,2009-09-01T16:23:38+0400
Системный администратор,20000.0,35000.0,RUR,Москва,2009-09-07T14:01:39+0400
Менеджер по продажам,20000.0,30000.0,RUR,Ульяновск,2009-09-01T16:30:30+0400
Региональный менеджер по продажам,50000.0,90000.0,RUR,Пермь,2009-09-01T16:30:50+0400
